rank,primary_class,count
1,Q85 - 85 - Education,6
2,R86 - 86 - Human health activities,3
3,U97 - 97 - Activities of households as employers of domestic personnel,1
4,H50 - 50 - Water transport,1
5,"L64 - 64 - Financial service activities, except insurance and pension funding",1
6,O78 - 78 - Employment activities,1
