rank,primary_class,count
1,Q85 - 85 - Education,1
2,H52 - 52 - Warehousing and support activities for transportation,1
3,R88 - 88 - Social work activities without accommodation,1
4,R87 - 87 - Residential care activities,1
5,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",1
6,"K62 - 62 - Computer programming, consultancy and related activities",1
7,C24 - 24 - Manufacture of basic metals,1
8,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",1
